tracer,q_bin_left,q_bin_right,q_bin_center,retained_data_count,retained_random_count,existing_selection_corrected_weight,empirical_q_mass,empirical_q_density,fixed_rho_q_support_density,fixed_rho_q_support_bin_mass,empirical_minus_fixed_q_density,empirical_minus_fixed_q_bin_mass,cumulative_empirical_q_mass,cumulative_fixed_q_mass,cumulative_q_residual,opening_branch,outer_exp_readout
BGS,0.0010850585494512899,0.4375993286473278,0.21934219359838955,4.0,42.0,0.09523809523809523,0.007465418112745822,0.01710234607237904,0.014992157563145309,0.0065442907158687336,0.0021101885092337323,0.0009211273968770884,0.007465418112745822,0.0065442907158687336,0.0009211273968770884,1.0846735794583118,0.9819781383802175
BGS,0.4375993286473278,0.8741135987452043,0.655856463696266,10.0,58.0,0.1724137931034483,0.013514981066177783,0.03096114375172068,0.018632716487897636,0.008133446637655306,0.012328427263823043,0.0053815344285224765,0.020980399178923605,0.01467773735352404,0.006302661825399566,1.2531829990435586,0.9470733159898623
BGS,0.8741135987452043,1.3106278688430808,1.0923707337941426,40.0,267.0,0.149812734082397,0.01174335433465635,0.02690256685542771,0.02038778258675014,0.008899558034769434,0.006514784268677569,0.0028437962998869165,0.03272375351357996,0.023577295388293472,0.009146458125286486,1.4216924186288056,0.9134092000658567
BGS,1.3106278688430808,1.7471421389409574,1.528885003892019,280.0,1739.0,0.16101207590569291,0.012621235912290233,0.028913684561698887,0.02199453757044853,0.009600929513704663,0.006919146991250357,0.0030203063985855694,0.04534498942587019,0.033178224901998135,0.012166764523872053,1.5902018382140524,0.880941689179509
BGS,1.7471421389409574,2.183656409038834,1.9653992739898958,281.0,2016.0,0.13938492063492064,0.010925950467091543,0.02502999607467974,0.02346130751478677,0.010241195525358973,0.001568688559892971,0.0006847549417325696,0.05627093989296173,0.04341942042735711,0.012851519465604623,1.7587112577992992,0.8496282495057996
BGS,2.183656409038834,2.6201706791367103,2.401913544087772,261.0,2258.0,0.11558901682905226,0.009060663568635928,0.020756855363753223,0.024796013975521648,0.010823813941861573,-0.004039158611768425,-0.0017631503732256446,0.06533160346159766,0.054243234369218685,0.01108836909237898,1.9272206773845462,0.8194278591022552
BGS,2.6201706791367103,3.056684949234587,2.838427814185649,203.0,1993.0,0.10185649774209735,0.007984214103019428,0.01829084327811134,0.026006192226234008,0.011352074017659615,-0.0077153489481226675,-0.0033678599146401873,0.0733158175646171,0.0655953083868783,0.007720509177738796,2.095730096969793,0.7903009541684524
BGS,3.056684949234587,3.4931992193324635,3.2749420842835253,204.0,1957.0,0.10424118548799183,0.008171142359479588,0.018719072706712275,0.027099008710754095,0.011829104007750817,-0.00837993600404182,-0.0036579616482712296,0.08148695992409669,0.07742441239462912,0.004062547529467567,2.26423951655504,0.7622093772157513
BGS,3.4931992193324635,3.92971348943034,3.7114563543814016,208.0,1644.0,0.12652068126520682,0.009917562748319269,0.02271990500126268,0.028081277742931728,0.012257878457371585,-0.005361372741669049,-0.002340315709052316,0.09140452267241596,0.0896822908520007,0.0017222318204152542,2.4327489361402868,0.7351163270793563
BGS,3.92971348943034,4.366227759528217,4.147970624479278,256.0,2099.0,0.12196283944735588,0.009560287702268112,0.021901432226086148,0.028959477485212024,0.012641225176873223,-0.007058045259125876,-0.003080937474605111,0.10096481037468408,0.10232351602887393,-0.0013587056541898568,2.6012583557255335,0.7089863107072197
BGS,4.366227759528217,4.802742029626093,4.584484894577155,486.0,3790.0,0.12823218997361477,0.010051722593493913,0.023027248550752052,0.02973976523620071,0.01298183191496235,-0.006712516685448658,-0.002930109321468437,0.11101653296817798,0.11530534794383629,-0.004288814975658306,2.7697677753107808,0.6837850966626289
BGS,4.802742029626093,5.239256299723969,5.020999164675031,2086.0,15494.0,0.13463276106880082,0.010553443457046065,0.0241766287610248,0.030427992056128245,0.013282252742924801,-0.0062513632951034445,-0.002728809285878736,0.12156997642522405,0.1285876006867611,-0.007017624261537042,2.938277194896027,0.6594796702795626
BGS,5.239256299723969,5.675770569821846,5.457513434772908,14074.0,111538.0,0.12618121178432462,0.009890952791400592,0.022658944893560563,0.031029716757989545,0.013544914161957649,-0.008370771864428982,-0.0036539613705570562,0.13146092921662464,0.14213251484871875,-0.01067158563209411,3.1067866144812744,0.6360381904120694
BGS,5.675770569821846,6.112284839919723,5.894027704870784,65758.0,545803.0,0.12047936709765245,0.009444002918101161,0.02163503822219508,0.03155021929096882,0.013772120945225222,-0.009915181068773742,-0.0043281180271240605,0.1409049321347258,0.15590463579394398,-0.014999703659218183,3.275296034066521,0.6134299477210085
BGS,6.112284839919723,6.548799110017599,6.330541974968661,178262.0,1483519.0,0.12016158876293462,0.009419093262674833,0.02157797329412131,0.03199451354166508,0.013966061725776555,-0.010416540247543772,-0.004546968463101722,0.15032402539740064,0.16987069751972053,-0.01954667212231989,3.443805453651768,0.5916253244435031
BGS,6.548799110017599,6.985313380115476,6.767056245066538,320960.0,2679249.0,0.11979476338332122,0.009390338961926436,0.021512100760923372,0.03236735957761295,0.014128814341017225,-0.010855258816689577,-0.004738475379090789,0.15971436435932707,0.18399951186073776,-0.024285147501410698,3.612314873237015,0.5705957555924082
BGS,6.985313380115476,7.421827650213352,7.203570515164413,374599.0,3169184.0,0.11820045790967013,0.009265366313843866,0.021225803939390945,0.032673275356565945,0.014262350943978314,-0.011447471417175,-0.0049969846301344475,0.16897973067317093,0.19826186280471608,-0.029282132131545152,3.7808242928222615,0.5503136915349578
BGS,7.421827650213352,7.858341920311228,7.640084785262291,685944.0,6110496.0,0.11225668096337842,0.00879945212307771,0.020158452371109598,0.03291654792404145,0.014368542891204723,-0.012758095552931854,-0.005569090768127012,0.17777918279624863,0.21263040569592082,-0.034851222899672185,3.9493337124075087,0.5307525619015697
BGS,7.858341920311228,8.294856190409105,8.076599055360166,1142535.0,9878347.0,0.11566054523089743,0.00906627045761639,0.020769700050318005,0.0331012441207364,0.014449165416694871,-0.012331544070418397,-0.005382894959078481,0.18684545325386503,0.22707957111261567,-0.04023411785875064,4.117843131992755,0.5118867407775284
BGS,8.294856190409105,8.731370460506982,8.513113325458043,865406.0,7489953.0,0.11554224706082936,0.009056997431950316,0.020748456699753514,0.033231220820486844,0.014505902100916195,-0.01248276412073333,-0.005448904668965878,0.19590245068581535,0.24158547321353188,-0.04568302252771653,4.286352551578002,0.49369151313194176
BGS,8.731370460506982,9.167884730604857,8.94962759555592,494569.0,4344177.0,0.11384642016197774,0.008924066835059249,0.020443929205472,0.03331013471862908,0.014540349143564273,-0.012866205513157078,-0.005616282308505024,0.2048265175208746,0.25612582235709613,-0.051299304836221526,4.45486197116325,0.4761430424399965
BGS,9.167884730604857,9.604399000702735,9.386141865653796,239359.0,2168169.0,0.11039683714691982,0.008653664750077894,0.01982447159891824,0.033341451689784814,0.014554019448370053,-0.013516980090866573,-0.0059003546982921585,0.2134801822709525,0.27067984180546617,-0.05719965953451367,4.623371390748496,0.4592183394560933
BGS,9.604399000702735,10.040913270800612,9.822656135751673,104941.0,954297.0,0.10996681326672933,0.008619956515404977,0.01974725021812499,0.033328455733318475,0.014548346527918928,-0.013581205515193484,-0.00592839001251395,0.22210013878635748,0.2852281883333851,-0.06312804954702761,4.791880810333743,0.4428952320969532
BGS,10.040913270800612,10.477427540898487,10.259170405849549,40002.0,348575.0,0.11475866025962848,0.008995574499415085,0.0206077443869088,0.03327425752394803,0.014524688236114915,-0.012666513137039231,-0.00552911373669983,0.23109571328577255,0.2997528765695,-0.06865716328372745,4.96039022991899,0.427152336395243
BGS,10.477427540898487,10.913941810996365,10.695684675947426,11330.0,97862.0,0.11577527538779098,0.009075263797825578,0.020790302676223348,0.03318180258428,0.014484330335608841,-0.012391499908056654,-0.005409066537783263,0.24017097708359814,0.31423720690510887,-0.07406622982151073,5.128899649504237,0.4119690284856648
