metric,name,section,value
retained_count,BGS,q_profile,4549176
random_count,BGS,q_profile,39488767
observed_q_min,BGS,q_profile,0.048767788150996694
observed_q_max,BGS,q_profile,50.8793377097994
CDF_L1,BGS,q_profile,0.07431060171510609
CDF_L2,BGS,q_profile,0.11597800506895604
KS_max,BGS,q_profile,0.2615243980570453
q_mass_L1,BGS,q_profile,0.8116015921989747
q_mass_L2,BGS,q_profile,0.14819394150771087
q_density_RMS,BGS,q_profile,0.024500863397479585
weighted_q_density_RMS,BGS,q_profile,0.02258528565600624
peak_q_empirical,BGS,q_profile,39.942140772505155
peak_q_fixed,BGS,q_profile,9.386141865653796
peak_q_difference,BGS,q_profile,30.555998906851357
empirical_median_q,BGS,q_profile,26.1136582180396
fixed_median_q_on_support,BGS,q_profile,16.820331116891488
empirical_mean_q,BGS,q_profile,25.130877531499344
fixed_mean_q_on_support,BGS,q_profile,18.961473892939498
selection_CV,BGS,q_profile,1.1500302462414447
monotonicity_inner_nonnegative_fraction,BGS,q_profile,0.3333333333333333
monotonicity_outer_nonpositive_fraction,BGS,q_profile,0.7928994082840237
tail_variance,BGS,q_profile,0.0007421510984644827
derivative_L1,BGS,q_derivative,0.3705214523126395
derivative_RMS,BGS,q_derivative,0.545127698847981
inner_derivative_sign_agreement,BGS,q_derivative,0.3181818181818182
outer_derivative_sign_agreement,BGS,q_derivative,0.5
q_star_derivative_residual,BGS,q_derivative,-0.04029794927129114
q_star_bin_residual,BGS,q_branches,-0.0059003546982921585
retained_count,LRG,q_profile,2831821
random_count,LRG,q_profile,47648406
observed_q_min,LRG,q_profile,0.006512160949640133
observed_q_max,LRG,q_profile,83.55451052247751
CDF_L1,LRG,q_profile,0.22154339499185363
CDF_L2,LRG,q_profile,0.24880651826378902
KS_max,LRG,q_profile,0.3718038704190798
q_mass_L1,LRG,q_profile,0.8696716116578962
q_mass_L2,LRG,q_profile,0.12689869703160137
q_density_RMS,LRG,q_profile,0.020980126512983283
weighted_q_density_RMS,LRG,q_profile,0.013747336474298677
peak_q_empirical,LRG,q_profile,83.59356778229281
peak_q_fixed,LRG,q_profile,9.386141865653796
peak_q_difference,LRG,q_profile,74.20742591663901
empirical_median_q,LRG,q_profile,38.01326477249486
fixed_median_q_on_support,LRG,q_profile,17.916177575715466
empirical_mean_q,LRG,q_profile,40.06260446508281
fixed_mean_q_on_support,LRG,q_profile,21.494888619986906
selection_CV,LRG,q_profile,1.1873612623364147
monotonicity_inner_nonnegative_fraction,LRG,q_profile,0.3333333333333333
monotonicity_outer_nonpositive_fraction,LRG,q_profile,0.621301775147929
tail_variance,LRG,q_profile,0.00048636314203160633
derivative_L1,LRG,q_derivative,0.39677744594926545
derivative_RMS,LRG,q_derivative,0.6398966790286399
inner_derivative_sign_agreement,LRG,q_derivative,0.45454545454545453
outer_derivative_sign_agreement,LRG,q_derivative,0.45614035087719296
q_star_derivative_residual,LRG,q_derivative,-0.005153715191376394
q_star_bin_residual,LRG,q_branches,-0.008180011997022701
retained_count,ELG,q_profile,3436588
random_count,ELG,q_profile,47648406
observed_q_min,ELG,q_profile,0.0041593731511966325
observed_q_max,ELG,q_profile,83.81182491734174
CDF_L1,ELG,q_profile,0.22590037788658857
CDF_L2,ELG,q_profile,0.26274813161081334
KS_max,ELG,q_profile,0.39676679591494435
q_mass_L1,ELG,q_profile,0.8292110968902466
q_mass_L2,ELG,q_profile,0.09887595383728003
q_density_RMS,ELG,q_profile,0.01634713412448543
weighted_q_density_RMS,ELG,q_profile,0.014213923153558343
peak_q_empirical,ELG,q_profile,75.29979665043314
peak_q_fixed,ELG,q_profile,9.386141865653796
peak_q_difference,ELG,q_profile,65.91365478477934
empirical_median_q,ELG,q_profile,41.24546762609585
fixed_median_q_on_support,ELG,q_profile,17.91783891397897
empirical_mean_q,ELG,q_profile,40.4125610029714
fixed_mean_q_on_support,ELG,q_profile,21.501764439051563
selection_CV,ELG,q_profile,0.9059589552293325
monotonicity_inner_nonnegative_fraction,ELG,q_profile,0.47619047619047616
monotonicity_outer_nonpositive_fraction,ELG,q_profile,0.5621301775147929
tail_variance,ELG,q_profile,0.00023761812746699718
derivative_L1,ELG,q_derivative,0.41413382307429997
derivative_RMS,ELG,q_derivative,0.6473363348734755
inner_derivative_sign_agreement,ELG,q_derivative,0.36363636363636365
outer_derivative_sign_agreement,ELG,q_derivative,0.4444444444444444
q_star_derivative_residual,ELG,q_derivative,-0.010302364572339276
q_star_bin_residual,ELG,q_branches,-0.00886756113910094
retained_count,QSO,q_profile,2279719
random_count,QSO,q_profile,47648406
observed_q_min,QSO,q_profile,0.0010850585494512899
observed_q_max,QSO,q_profile,70.70884690283145
CDF_L1,QSO,q_profile,0.2174125245111732
CDF_L2,QSO,q_profile,0.25940378516721424
KS_max,QSO,q_profile,0.3850937667521875
q_mass_L1,QSO,q_profile,0.8302803260299274
q_mass_L2,QSO,q_profile,0.15632424787973326
q_density_RMS,QSO,q_profile,0.025845044703233098
weighted_q_density_RMS,QSO,q_profile,0.015530611763332489
peak_q_empirical,QSO,q_profile,68.31556832886713
peak_q_fixed,QSO,q_profile,9.386141865653796
peak_q_difference,QSO,q_profile,58.92942646321333
empirical_median_q,QSO,q_profile,39.42053244711763
fixed_median_q_on_support,QSO,q_profile,17.72502427101471
empirical_mean_q,QSO,q_profile,39.158750354353444
fixed_mean_q_on_support,QSO,q_profile,20.93724582050421
selection_CV,QSO,q_profile,1.5469171201069651
monotonicity_inner_nonnegative_fraction,QSO,q_profile,0.5238095238095238
monotonicity_outer_nonpositive_fraction,QSO,q_profile,0.6568047337278107
tail_variance,QSO,q_profile,0.0007870647709665797
derivative_L1,QSO,q_derivative,0.16892135087929488
derivative_RMS,QSO,q_derivative,0.35931296230143006
inner_derivative_sign_agreement,QSO,q_derivative,0.5
outer_derivative_sign_agreement,QSO,q_derivative,0.5137614678899083
q_star_derivative_residual,QSO,q_derivative,-0.008151134229442763
q_star_bin_residual,QSO,q_branches,-0.008332423129378354
BGS_vs_LRG_CDF_L1,shared,q_cross_tracer,0.011999712897785111
BGS_vs_ELG_CDF_L1,shared,q_cross_tracer,0.026981630788260862
BGS_vs_QSO_CDF_L1,shared,q_cross_tracer,0.011602517237880056
LRG_vs_ELG_CDF_L1,shared,q_cross_tracer,0.023041847742268168
LRG_vs_QSO_CDF_L1,shared,q_cross_tracer,0.002879254617772028
ELG_vs_QSO_CDF_L1,shared,q_cross_tracer,0.021927112533451736
binwise_sign_agreement,shared,q_cross_tracer,0.5299145299145299
binwise_profile_range_mean,shared,q_cross_tracer,0.005293480565316689
binwise_profile_CV_mean,shared,q_cross_tracer,0.3837780635321649
row_count,all,q_partitions,0
row_count,all,q_nulls,0
