empirical_tail_fraction,empirical_upper_bound,metric,n_trials,null_name,observed_rank,observed_value,tail_count
0.935,0.935,primary_score,200,random_axis,188,0.14719224649409735,187
0.69,0.69,q_peak_residual,200,random_axis,139,1.0907104347747445,138
0.69,0.69,q_frac_residual,200,random_axis,139,0.11516989266094854,138
0.895,0.895,q_shell_occupancy,200,random_axis,180,0.7786591365431127,179
0.83,0.83,cross_tracer_q_peak_cv,200,random_axis,167,0.10506598336445613,166
0.0,0.004975124378109453,phi_excess,200,random_axis,1,187.32585380248938,0
0.37,0.37,primary_score,200,scrambled_redshift,75,0.14719224649409735,74
0.26,0.26,q_peak_residual,200,scrambled_redshift,53,1.0907104347747445,52
0.26,0.26,q_frac_residual,200,scrambled_redshift,53,0.11516989266094854,52
0.92,0.92,q_shell_occupancy,200,scrambled_redshift,185,0.7786591365431127,184
0.34,0.34,cross_tracer_q_peak_cv,200,scrambled_redshift,69,0.10506598336445613,68
0.0,0.004975124378109453,phi_excess,200,scrambled_redshift,1,187.32585380248938,0
0.23,0.23,primary_score,200,footprint_random,47,0.14719224649409735,46
0.015,0.015,q_peak_residual,200,footprint_random,4,1.0907104347747445,3
0.015,0.015,q_frac_residual,200,footprint_random,4,0.11516989266094854,3
1.0,1.0,q_shell_occupancy,200,footprint_random,201,0.7786591365431127,200
0.195,0.195,cross_tracer_q_peak_cv,200,footprint_random,40,0.10506598336445613,39
0.0,0.004975124378109453,phi_excess,200,footprint_random,1,187.32585380248938,0
