row_id,catalogue_id,catalogue_z,r,z_equals_r,catalogue_mu_record,catalogue_luminosity_record,catalogue_scale_record,D_record,T_record,mu_derivative_recovered,gamma_recovered,gamma_finite_status,gamma_clip_status,robust_subset_status,gamma_difference_from_extracted_record
0,2013cs,0.01029,0.01029,True,32.3353,29.3129819108808,73.23,0.007087323832550787,0.007093373109977157,0.082912607552,99.10751465834066,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,98.72148049834067
1,2002dj,0.01051,0.01051,True,32.901,38.03645203285563,73.23,0.009194491498207483,0.009202507175854694,0.082912607552,28.260697924421397,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,27.874663764421395
2,2002dj,0.01051,0.01051,True,32.8654,37.41795083367261,73.23,0.009044982179814507,0.009052867516539468,0.082912607552,32.19081212577795,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,31.80477796577795
3,2013E,0.01042,0.01042,True,32.7794,35.964994647266785,73.23,0.00869453574438466,0.008702050628841896,0.082912607552,40.23547056557816,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,39.84943640557816
4,1997do,0.01048,0.01048,True,33.1081,41.8427288412479,73.23,0.010114877072037428,0.010123669952388129,0.082912607552,6.7950205271988535,FINITE,CLIP_RETAINED,ROBUST_EXCLUDED,6.408986367198853
5,ASASSN-16jf,0.0104,0.0104,True,33.5709,51.782140649389994,73.23,0.012518577827241084,0.01252937714112535,0.082912607552,-30.717327501672806,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,-31.103361661672807
6,iPTF13ebh,0.01238,0.01238,True,33.7337,55.81359542592682,73.23,0.01346681128696444,0.013480641501095117,0.082912607552,-12.820867496955765,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,-13.206901656955765
7,iPTF13ebh,0.01238,0.01238,True,33.6369,53.38017583185706,73.23,0.012879671142967977,0.01289289837293684,0.082912607552,-6.340357768382769,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,-6.726391928382769
8,2010ko,0.01096,0.01096,True,33.8347,58.47092979893016,73.23,0.014127794161867224,0.01414063823672319,0.082912607552,-37.7097968639297,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,-38.0958310239297
9,2013ex,0.01096,0.01096,True,33.4336,48.6093708447226,73.23,0.011745036174278113,0.011755713999993868,0.082912607552,-12.066540622899346,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,-12.452574782899346
10,2013ex,0.01096,0.01096,True,33.4947,49.99654574248238,73.23,0.01208020651429925,0.012091189055166388,0.082912607552,-16.522292428415888,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,-16.90832658841589
11,2009ab,0.01189,0.01189,True,33.5833,52.078683842478206,73.23,0.012571729478496847,0.012584129188935518,0.082912607552,-9.104420412528382,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,-9.490454572528382
12,2011ao,0.01168,0.01168,True,33.4974,50.05874990917369,73.23,0.012086628307839893,0.01209833890090252,0.082912607552,-5.851881802861627,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,-6.237915962861627
13,2001cz,0.01275,0.01275,True,33.8783,59.656806315009355,73.23,0.014388849806041566,0.014404068816382114,0.082912607552,-17.29568987841493,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,-17.68172403841493
14,2009kk,0.01244,0.01244,True,33.7023,55.01232499534995,73.23,0.013272692598451484,0.013286389551975027,0.082912607552,-10.01948279494918,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,-10.40551695494918
15,2010Y,0.01142,0.01142,True,33.7403,55.98349402078891,73.23,0.013520625821460984,0.013533434050829152,0.082912607552,-25.845554641547697,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,-26.231588801547698
16,2008R,0.0126,0.0126,True,33.8286,58.30690645477457,73.23,0.014065345615024913,0.014080047343588673,0.082912607552,-16.07900344783685,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,-16.46503760783685
17,2002ha,0.0122,0.0122,True,33.708,55.156919126080226,73.23,0.013310733803797032,0.013324204873176341,0.082912607552,-13.431262579079696,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,-13.817296739079696
18,2002ha,0.0122,0.0122,True,33.7246,55.5801865352864,73.23,0.013412878736854077,0.013426453181561916,0.082912607552,-14.50429225567054,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,-14.89032641567054
19,2009kq,0.01247,0.01247,True,33.5874,52.177107523972296,73.23,0.01258827342534894,0.012601295426425177,0.082912607552,-1.6652586767431112,FINITE,CLIP_RETAINED,ROBUST_EXCLUDED,-2.0512928367431114
20,2009kq,0.01247,0.01247,True,33.5178,50.53124516130745,73.23,0.01219119190004214,0.012203803138190437,0.082912607552,3.5236680664943942,FINITE,CLIP_RETAINED,ROBUST_EXCLUDED,3.1376339064943943
21,2001bt,0.01407,0.01407,True,33.7492,56.21341891481521,73.23,0.01354067755605835,0.013556483062343295,0.082912607552,5.451622442199815,FINITE,CLIP_RETAINED,ROBUST_EXCLUDED,5.065588282199815
22,2001ep,0.01306,0.01306,True,33.6365,53.37034374568294,73.23,0.012868655161578703,0.012882597386048229,0.082912607552,2.118474801190264,FINITE,CLIP_RETAINED,ROBUST_RETAINED,1.732440641190264
23,2001ep,0.01306,0.01306,True,33.5028,50.18339051638707,73.23,0.012100217125666566,0.01211332680505247,0.082912607552,12.271987911400444,FINITE,CLIP_RETAINED,ROBUST_EXCLUDED,11.885953751400445
24,2013gy,0.01309,0.01309,True,33.7355,55.85988020572562,73.23,0.013468533246767842,0.013483158931907683,0.082912607552,-4.411466153269937,FINITE,CLIP_RETAINED,ROBUST_EXCLUDED,-4.797500313269937
25,2013gy,0.01309,0.01309,True,33.7607,56.511911833272784,73.23,0.013625746431279165,0.01364054283660764,0.082912607552,-6.082555945838076,FINITE,CLIP_EXCLUDED,ROBUST_EXCLUDED,-6.468590105838076
26,AT2017cfd,0.01222,0.01222,True,33.5752,51.88478243789646,73.23,0.012520838594710504,0.01253353103786841,0.082912607552,-4.0597430550134685,FINITE,CLIP_RETAINED,ROBUST_EXCLUDED,-4.445777215013469
27,2017cfd,0.01222,0.01222,True,33.5673,51.69636416648809,73.23,0.01247536948693459,0.012488015837807101,0.082912607552,-3.487266248073682,FINITE,CLIP_RETAINED,ROBUST_EXCLUDED,-3.873300408073682
