row_id,r,sigma_prime,sigma_second,Q_sqrt_negative_sigma_second,mu_recovered,gamma_recovered,mu_difference_from_extracted_record,gamma_difference_from_extracted_record,recovery_error,finite_status
0,0.0,0.3031215524480000000000000000000000000000,-0.1490223726869056000000000000000000000000,0.3860341600000000000000000000000000000000,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
1,1.000000000000000000000000000000000000000e-18,0.3031215524479999998509776273130944000575,-0.1490223726869055998849445470772069074760,0.3860341599999999998509776273130944000575,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
2,1.000000000000000000000000000000000000000e-15,0.3031215524479998509776273130944575277265,-0.1490223726869054849445470772069740324107,0.3860341599999998509776273130944575277265,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
3,0.000000000001000000000000000000000000000000000000000,0.3031215524478509776273131519277264613743,-0.1490223726867905445470772735304120916707,0.3860341599998509776273131519277264613743,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,-4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
4,0.000000001000000000000000000000000000000000000000,0.3031215522989776273706221264391888787426,-0.1490223725718501471438299100588212913743,0.3860341598509776273706221264391888787426,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
5,0.000001000000000000000000000000000000000000000,0.3031214034256848407986537375579752909466,-0.1490222576315193001752994577494745219674,0.3860340109776848407986537375579752909466,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
6,0.0001000000000000000000000000000000000000000,0.3031066507859863672436629641052328526284,-0.1490108678078090575092633496545334484578,0.3860192583379863672436629641052328526284,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
7,0.001000000000000000000000000000000000000000,0.3029725875808404578454416195345739311615,-0.1489073838227103569768016256710162932627,0.3858851951328404578454416195345739311615,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
8,0.005000000000000000000000000000000000000000,0.3023778760071163136176515665816099207140,-0.1484487567212176783664599509812623931721,0.3852904835591163136176515665816099207140,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,4.840739893561647841022538291607939809463e-122,7.748964734893173862267352925130106812994e-122,FINITE
9,0.01000000000000000000000000000000000000000,0.3016370593715090340578506622818059934005,-0.1478784463309817380427271297031589597616,0.3845496669235090340578506622818059934005,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,4.840739893561647841022538291607939809463e-122,7.748964734893173862267352925130106812994e-122,FINITE
10,0.01500000000000000000000000000000000000000,0.3008990860767775625273436413059567055029,-0.1473114161661906109834274666626754907588,0.3838116936287775625273436413059567055029,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,4.840739893561647841022538291607939809463e-122,7.748964734893173862267352925130106812994e-122,FINITE
11,0.02000000000000000000000000000000000000000,0.3001639397846638149399452556557390306822,-0.1467476411193792325674250061011831635378,0.3830765473366638149399452556557390306822,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
12,0.02500000000000000000000000000000000000000,0.2994316042818464754074283187799888693008,-0.1461870963228452671648681127153736136689,0.3823442118338464754074283187799888693008,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
13,0.03000000000000000000000000000000000000000,0.2987020634787490536471359876777316948344,-0.1456297571459068209831718043599897164864,0.3816146710307490536471359876777316948344,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
14,0.03500000000000000000000000000000000000000,0.2979753014083615622852425055145587185066,-0.1450755991921966776871697647111891880411,0.3808879089603615622852425055145587185066,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
