galaxy,N_points_total,N_outer_points,Rdisk,Rlast,Vflat,V_at_Rlast,V_Rlast_over_Vflat,outer_slope_dlogV_dlogR,outer_slope_fit_points,outer_slope_status
CamB,9,2,0.47,1.79,,20.1,,,2,INSUFFICIENT_OUTER_POINTS
D512-2,4,1,1.24,3.83,,35.9,,,1,INSUFFICIENT_OUTER_POINTS
D564-8,6,3,0.61,3.07,,25,,0.327156389912,3,INVALID_VFLAT
D631-7,16,12,0.7,7.19,57.7,57.3,0.993067590988,0.461548233381,12,OK
DDO064,14,4,0.69,2.98,46.1,46.9,1.01735357918,0.0344170022953,4,OK
DDO154,12,10,0.37,5.92,47,45.5,0.968085106383,0.348502024857,10,OK
DDO161,31,21,1.22,13.37,66.3,66.1,0.996983408748,0.357056191739,21,OK
DDO168,10,3,1.02,4.12,53.4,52,0.973782771536,-0.231115456525,3,OK
DDO170,8,5,1.95,12.33,60,62.2,1.03666666667,0.150555769443,5,OK
ESO079-G014,15,1,5.08,16.67,175,178,1.01714285714,,1,INSUFFICIENT_OUTER_POINTS
ESO116-G012,15,7,1.51,9.86,109.1,112,1.02658111824,0.0858689020982,7,OK
ESO444-G084,7,4,0.46,4.44,,62.7,,0.194978309831,4,INVALID_VFLAT
ESO563-G021,30,16,5.45,42.41,314.6,312,0.99173553719,-0.00281593677991,16,OK
F561-1,6,1,2.79,9.66,50,50.4,1.008,,1,INSUFFICIENT_OUTER_POINTS
F563-1,17,6,3.52,20.1,109.9,106,0.964513193813,0.0210603425207,6,OK
F563-V1,6,0,3.79,7.87,,27.3,,,0,INSUFFICIENT_OUTER_POINTS
F563-V2,10,4,2.43,10.47,116.6,118,1.01200686106,0.0598016388582,4,OK
F565-V2,7,2,2.17,8.8,,83.1,,,2,INSUFFICIENT_OUTER_POINTS
F567-2,5,1,3.08,9.59,,52.2,,,1,INSUFFICIENT_OUTER_POINTS
F568-1,12,0,5.18,13.23,,142,,,0,INSUFFICIENT_OUTER_POINTS
F568-3,18,2,4.99,17.98,,120,,,2,INSUFFICIENT_OUTER_POINTS
F568-V1,15,4,2.85,17.63,112.3,118,1.05075690116,0.0951691612584,4,OK
F571-8,13,2,3.56,15.55,139.7,144,1.03078024338,,2,INSUFFICIENT_OUTER_POINTS
F571-V1,7,4,2.47,13.59,83.6,83.9,1.00358851675,0.156810812652,4,OK
F574-1,14,0,4.46,12.6,97.8,99.7,1.01942740286,,0,INSUFFICIENT_OUTER_POINTS
F574-2,5,0,3.76,10.83,,40,,,0,INSUFFICIENT_OUTER_POINTS
F579-V1,14,3,3.37,15.16,112.1,114,1.01694915254,4.0537370774e-15,3,OK
F583-1,25,4,2.36,16.26,85.8,85.8,1,0.0925225376181,4,OK
F583-4,12,4,1.93,7.29,,69.9,,0.522868536961,4,INVALID_VFLAT
IC2574,34,7,2.78,10.23,66.4,67.5,1.01656626506,0.511983477116,7,OK
IC4202,32,14,4.78,25.9,242.6,247,1.01813685078,-0.0235461666399,14,OK
KK98-251,15,0,1.34,3.13,33.7,34.2,1.01483679525,,0,INSUFFICIENT_OUTER_POINTS
NGC0024,29,4,1.34,11.27,106.3,110,1.03480714958,0.126594544234,4,OK
NGC0055,21,0,6.11,13.5,85.6,86.5,1.01051401869,,0,INSUFFICIENT_OUTER_POINTS
NGC0100,21,10,1.66,9.62,88.1,91.2,1.03518728717,0.259754493902,10,OK
