galaxy,R,r_normalized,sigma,rho,sigma_prime,sigma_second,V_obs,V_err,closure_reference_value,closure_residual,status
CamB,0.16,0.340425531915,-4.12742600015,0.0161243294744,0.258283026496,-0.116414460693,1.99,1.5,OMITTED,OMITTED,INVALID_VFLAT
CamB,0.41,0.872340425532,-4.00475460301,0.0182287619931,0.205872307283,-0.083396727036,4.84,1.5,OMITTED,OMITTED,INVALID_VFLAT
CamB,0.57,1.21276595745,-3.93920775691,0.0194636285641,0.180023155941,-0.0691352157234,6.79,1.5,OMITTED,OMITTED,INVALID_VFLAT
CamB,0.73,1.55319148936,-3.88170522828,0.0206156408178,0.158421342678,-0.0582420755334,8.87,1.5,OMITTED,OMITTED,INVALID_VFLAT
CamB,0.9,1.91489361702,-3.82800561023,0.0217529562699,0.139046324788,-0.0492657676454,10.9,1.5,OMITTED,OMITTED,INVALID_VFLAT
CamB,1.06,2.25531914894,-3.78338926923,0.0227454701151,0.123453222076,-0.0425868556381,12.9,1.5,OMITTED,OMITTED,INVALID_VFLAT
CamB,1.22,2.59574468085,-3.74372051863,0.0236658897497,0.109907206455,-0.0371794806738,14.7,1.5,OMITTED,OMITTED,INVALID_VFLAT
CamB,1.47,3.12765957447,-3.69018483702,0.0249673867184,0.0919705385295,-0.0305841147834,16.8,1.5,OMITTED,OMITTED,INVALID_VFLAT
CamB,1.79,3.8085106383,-3.63413854841,0.0264066726623,0.0733629101446,-0.0244220374313,20.1,1.5,OMITTED,OMITTED,INVALID_VFLAT
D512-2,0.96,0.774193548387,-4.02536975437,0.0178568202952,0.214296196748,-0.0883330733534,22.9,2.71,OMITTED,OMITTED,INVALID_VFLAT
D512-2,1.92,1.54838709677,-3.8824670193,0.0205999419881,0.158701485288,-0.0583773698591,33.5,2.71,OMITTED,OMITTED,INVALID_VFLAT
D512-2,2.88,2.32258064516,-3.77518107232,0.0229329377456,0.120627982117,-0.041428771643,37.2,4.19,OMITTED,OMITTED,INVALID_VFLAT
D512-2,3.83,3.08870967742,-3.69379038542,0.0248775276901,0.0931699567051,-0.0310050694353,35.9,5.98,OMITTED,OMITTED,INVALID_VFLAT
D564-8,0.51,0.83606557377,-4.01227784608,0.0180921371611,0.208929537607,-0.0851718376909,8.54,1.53,OMITTED,OMITTED,INVALID_VFLAT
D564-8,1.02,1.67213114754,-3.86326689534,0.0209992848765,0.151687344015,-0.0550371372753,15.1,1.41,OMITTED,OMITTED,INVALID_VFLAT
D564-8,1.53,2.50819672131,-3.75348677815,0.0234358874876,0.113218085004,-0.0384672485624,19.8,1.8,OMITTED,OMITTED,INVALID_VFLAT
